Date,Open,High,Low,Close,Adj Close,Volume
2002-01-23,2.450000,2.450000,2.450000,2.450000,2.450000,300
2002-01-24,2.900000,2.900000,2.900000,2.900000,2.900000,200
2002-01-25,3.450000,3.450000,3.450000,3.450000,3.450000,100
2002-01-28,4.100000,4.100000,4.100000,4.100000,4.100000,300
2002-01-29,null,null,null,null,null,null
2002-01-30,4.900000,4.900000,4.900000,4.900000,4.900000,100
2002-01-31,null,null,null,null,null,null
2002-02-01,null,null,null,null,null,null
2002-02-04,null,null,null,null,null,null
2002-02-05,null,null,null,null,null,null
2002-02-06,null,null,null,null,null,null
2002-02-07,null,null,null,null,null,null
2002-02-08,null,null,null,null,null,null
2002-02-11,5.850000,5.850000,5.850000,5.850000,5.850000,100
2002-02-12,7.000000,7.000000,7.000000,7.000000,7.000000,100
2002-02-13,8.400000,8.400000,8.400000,8.400000,8.400000,100
2002-02-14,10.050000,10.050000,10.050000,10.050000,10.050000,50
2002-02-15,12.050000,12.050000,12.000000,12.000000,12.000000,50
2002-02-18,null,null,null,null,null,null
2002-02-19,null,null,null,null,null,null
2002-02-20,12.950000,12.950000,12.950000,12.950000,12.950000,10
2002-02-21,13.950000,13.950000,13.950000,13.950000,13.950000,10
2002-02-22,null,null,null,null,null,null
2002-02-25,15.050000,15.050000,15.000000,15.000000,15.000000,50
2002-02-26,16.200001,16.200001,16.000000,16.000000,16.000000,200
2002-02-27,17.000000,17.049999,16.000000,16.000000,16.000000,1200
2002-02-28,14.850000,14.850000,14.800000,14.800000,14.800000,300
2002-03-01,null,null,null,null,null,null
2002-03-04,13.650000,14.050000,13.650000,14.050000,14.050000,100
2002-03-05,null,null,null,null,null,null
2002-03-06,15.150000,15.150000,15.150000,15.150000,15.150000,3
2002-03-07,13.950000,13.950000,13.950000,13.950000,13.950000,100
2002-03-08,15.050000,15.050000,15.050000,15.050000,15.050000,1
2002-03-11,null,null,null,null,null,null
2002-03-12,16.250000,16.250000,16.250000,16.250000,16.250000,1
2002-03-13,17.500000,17.500000,17.500000,17.500000,17.500000,1
2002-03-14,18.900000,18.900000,18.900000,18.900000,18.900000,2
2002-03-15,20.400000,20.400000,17.400000,17.400000,17.400000,200
2002-03-18,18.750000,18.750000,18.750000,18.750000,18.750000,1
2002-03-19,null,null,null,null,null,null
2002-03-20,null,null,null,null,null,null
2002-03-21,null,null,null,null,null,null
2002-03-22,null,null,null,null,null,null
2002-03-25,null,null,null,null,null,null
2002-03-26,null,null,null,null,null,null
2002-03-27,null,null,null,null,null,null
2002-03-28,null,null,null,null,null,null
2002-03-29,null,null,null,null,null,null
2002-04-01,20.200001,20.200001,20.200001,20.200001,20.200001,1
2002-04-02,21.700001,21.700001,21.700001,21.700001,21.700001,1
2002-04-03,23.299999,23.299999,23.299999,23.299999,23.299999,1
2002-04-04,null,null,null,null,null,null
2002-04-05,null,null,null,null,null,null
2002-04-08,null,null,null,null,null,null
2002-04-09,null,null,null,null,null,null
2002-04-10,null,null,null,null,null,null
2002-04-11,null,null,null,null,null,null
2002-04-12,null,null,null,null,null,null
2002-04-15,null,null,null,null,null,null
2002-04-16,null,null,null,null,null,null
2002-04-17,null,null,null,null,null,null
2002-04-18,null,null,null,null,null,null
2002-04-19,null,null,null,null,null,null
2002-04-22,null,null,null,null,null,null
2002-04-23,null,null,null,null,null,null
2002-04-24,null,null,null,null,null,null
2002-04-25,null,null,null,null,null,null
2002-04-26,null,null,null,null,null,null
2002-04-29,null,null,null,null,null,null
2002-04-30,null,null,null,null,null,null
2002-05-01,null,null,null,null,null,null
2002-05-02,null,null,null,null,null,null
2002-05-03,null,null,null,null,null,null
2002-05-06,null,null,null,null,null,null
2002-05-07,null,null,null,null,null,null
2002-05-08,null,null,null,null,null,null
2002-05-09,null,null,null,null,null,null
2002-05-10,null,null,null,null,null,null
2002-05-13,null,null,null,null,null,null
2002-05-14,null,null,null,null,null,null
2002-05-15,null,null,null,null,null,null
2002-05-16,null,null,null,null,null,null
2002-05-17,null,null,null,null,null,null
2002-05-20,null,null,null,null,null,null
2002-05-21,null,null,null,null,null,null
2002-05-22,null,null,null,null,null,null
2002-05-23,null,null,null,null,null,null
2002-05-24,null,null,null,null,null,null
2002-05-27,null,null,null,null,null,null
2002-05-28,null,null,null,null,null,null
2002-05-29,null,null,null,null,null,null
2002-05-30,null,null,null,null,null,null
2002-05-31,null,null,null,null,null,null
2002-06-03,null,null,null,null,null,null
2002-06-04,null,null,null,null,null,null
2002-06-05,null,null,null,null,null,null
2002-06-06,null,null,null,null,null,null
2002-06-07,null,null,null,null,null,null
2002-06-10,null,null,null,null,null,null
2002-06-11,null,null,null,null,null,null
2002-06-12,null,null,null,null,null,null
2002-06-13,null,null,null,null,null,null
2002-06-14,null,null,null,null,null,null
2002-06-17,null,null,null,null,null,null
2002-06-18,null,null,null,null,null,null
2002-06-19,null,null,null,null,null,null
2002-06-20,null,null,null,null,null,null
2002-06-21,null,null,null,null,null,null
2002-06-24,null,null,null,null,null,null
2002-06-25,27.500000,27.700001,27.500000,27.600000,27.600000,2
2002-06-26,null,null,null,null,null,null
2002-06-27,null,null,null,null,null,null
2002-06-28,null,null,null,null,null,null
2002-07-01,19.230000,19.270000,19.230000,19.230000,19.230000,3
2002-07-02,null,null,null,null,null,null
2002-07-03,null,null,null,null,null,null
2002-07-04,null,null,null,null,null,null
2002-07-05,20.170000,20.170000,20.170000,20.170000,20.170000,1
2002-07-08,null,null,null,null,null,null
2002-07-09,null,null,null,null,null,null
2002-07-10,null,null,null,null,null,null
2002-07-11,null,null,null,null,null,null
2002-07-12,null,null,null,null,null,null
2002-07-15,null,null,null,null,null,null
2002-07-16,null,null,null,null,null,null
2002-07-17,21.170000,21.170000,21.170000,21.170000,21.170000,1
2002-07-18,21.170000,22.000000,20.129999,22.000000,22.000000,101
2002-07-19,22.330000,22.330000,22.330000,22.330000,22.330000,50
2002-07-22,21.230000,21.230000,21.230000,21.230000,21.230000,50
2002-07-23,null,null,null,null,null,null
2002-07-24,null,null,null,null,null,null
2002-07-25,null,null,null,null,null,null
2002-07-26,null,null,null,null,null,null
2002-07-29,null,null,null,null,null,null
2002-07-30,null,null,null,null,null,null
