Date,Open,High,Low,Close,Adj Close,Volume
2004-03-25,7.010000,7.970000,7.000000,7.500000,7.500000,2764100
2004-03-26,7.550000,7.550000,7.170000,7.450000,7.450000,475600
2004-03-29,7.450000,7.700000,7.250000,7.250000,7.250000,119200
2004-03-30,7.220000,7.450000,7.150000,7.300000,7.300000,205300
2004-03-31,7.300000,7.650000,7.050000,7.250000,7.250000,581400
2004-04-01,7.330000,7.450000,7.250000,7.250000,7.250000,129000
2004-04-02,7.290000,7.890000,7.290000,7.520000,7.520000,209300
2004-04-05,7.500000,7.880000,7.350000,7.790000,7.790000,77300
2004-04-06,7.650000,7.750000,7.500000,7.750000,7.750000,22000
2004-04-07,7.700000,8.200000,7.700000,7.930000,7.930000,54100
2004-04-08,7.980000,8.100000,7.850000,8.020000,8.020000,97000
2004-04-12,8.100000,8.230000,8.000000,8.000000,8.000000,40300
2004-04-13,8.110000,8.490000,8.050000,8.300000,8.300000,88000
2004-04-14,8.260000,8.450000,8.160000,8.250000,8.250000,40200
2004-04-15,8.110000,8.370000,8.110000,8.140000,8.140000,22100
2004-04-16,8.250000,8.250000,7.890000,7.890000,7.890000,9700
2004-04-19,8.140000,8.250000,7.890000,8.100000,8.100000,237500
2004-04-20,8.150000,8.250000,7.900000,8.040000,8.040000,6400
2004-04-21,7.900000,8.140000,7.760000,8.020000,8.020000,21100
2004-04-22,7.900000,8.000000,7.690000,8.000000,8.000000,23700
2004-04-23,7.840000,7.910000,7.350000,7.750000,7.750000,168200
2004-04-26,7.800000,8.030000,7.550000,7.750000,7.750000,13400
2004-04-27,7.700000,7.950000,7.360000,7.950000,7.950000,17000
2004-04-28,7.600000,8.010000,7.470000,7.900000,7.900000,20100
2004-04-29,7.750000,7.900000,7.520000,7.520000,7.520000,10800
2004-04-30,7.670000,7.900000,7.400000,7.450000,7.450000,52000
2004-05-03,7.400000,8.850000,7.400000,7.640000,7.640000,91300
2004-05-04,8.100000,8.150000,7.650000,7.850000,7.850000,80200
2004-05-05,8.050000,8.150000,7.800000,7.900000,7.900000,120700
2004-05-06,8.000000,8.000000,7.750000,7.950000,7.950000,24800
2004-05-07,7.700000,8.150000,7.650000,8.000000,8.000000,293400
2004-05-10,8.160000,8.160000,7.800000,7.820000,7.820000,170100
2004-05-11,7.700000,8.200000,7.700000,8.100000,8.100000,165900
2004-05-12,8.000000,8.150000,7.830000,8.000000,8.000000,22700
2004-05-13,7.920000,7.950000,7.860000,7.860000,7.860000,169800
2004-05-14,7.850000,7.850000,7.700000,7.700000,7.700000,10300
2004-05-17,7.700000,7.730000,7.470000,7.470000,7.470000,12200
2004-05-18,7.520000,7.850000,7.520000,7.840000,7.840000,20500
2004-05-19,7.800000,7.910000,7.740000,7.900000,7.900000,21300
2004-05-20,7.730000,7.850000,7.500000,7.680000,7.680000,7100
2004-05-21,7.670000,7.700000,7.330000,7.420000,7.420000,50800
2004-05-24,7.450000,7.600000,7.280000,7.370000,7.370000,14900
2004-05-25,7.400000,7.500000,7.250000,7.500000,7.500000,22600
2004-05-26,7.480000,7.500000,7.250000,7.260000,7.260000,22400
2004-05-27,7.480000,7.500000,7.430000,7.430000,7.430000,11800
2004-05-28,7.450000,7.840000,7.450000,7.840000,7.840000,9700
2004-06-01,7.680000,7.860000,7.610000,7.860000,7.860000,5300
2004-06-02,7.760000,7.860000,7.570000,7.800000,7.800000,9800
2004-06-03,7.880000,7.880000,7.590000,7.700000,7.700000,9600
2004-06-04,7.880000,7.880000,7.470000,7.470000,7.470000,122400
2004-06-07,7.460000,7.800000,7.250000,7.440000,7.440000,8900
2004-06-08,7.780000,7.800000,7.270000,7.760000,7.760000,1600
2004-06-09,7.500000,7.500000,7.320000,7.320000,7.320000,5000
2004-06-10,7.490000,7.590000,7.420000,7.590000,7.590000,8300
2004-06-14,7.300000,7.740000,7.300000,7.740000,7.740000,6300
2004-06-15,7.450000,7.630000,7.300000,7.560000,7.560000,2200
2004-06-16,7.400000,7.500000,7.400000,7.400000,7.400000,1000
2004-06-17,7.350000,7.400000,7.280000,7.300000,7.300000,106200
2004-06-18,7.410000,7.410000,7.300000,7.320000,7.320000,3000
2004-06-21,7.260000,7.360000,7.260000,7.260000,7.260000,40800
2004-06-22,7.250000,8.220000,7.250000,8.200000,8.200000,21200
2004-06-23,7.750000,8.410000,7.750000,8.140000,8.140000,23600
2004-06-24,8.100000,8.200000,8.000000,8.000000,8.000000,17600
2004-06-25,7.940000,8.100000,7.550000,7.880000,7.880000,7900
2004-06-28,7.680000,7.680000,7.200000,7.500000,7.500000,146800
2004-06-29,7.330000,7.700000,7.250000,7.300000,7.300000,93100
2004-06-30,7.300000,7.350000,7.220000,7.310000,7.310000,40100
2004-07-01,7.300000,7.620000,7.170000,7.260000,7.260000,15900
2004-07-02,7.400000,7.700000,7.400000,7.410000,7.410000,28700
2004-07-06,7.500000,7.500000,7.200000,7.490000,7.490000,80600
2004-07-07,7.370000,7.440000,7.180000,7.210000,7.210000,98400
