Date,Open,High,Low,Close,Adj Close,Volume
2006-05-24,17.000000,17.250000,14.490000,14.850000,14.850000,33832600
2006-05-25,14.690000,14.690000,12.630000,13.000000,13.000000,11410100
2006-05-26,13.100000,13.560000,12.910000,13.020000,13.020000,5137700
2006-05-30,12.900000,13.330000,12.420000,12.500000,12.500000,2329400
2006-05-31,12.750000,12.940000,11.700000,12.020000,12.020000,2441300
2006-06-01,12.000000,12.280000,11.520000,11.630000,11.630000,4486400
2006-06-02,11.650000,12.120000,11.640000,11.980000,11.980000,2140700
2006-06-05,11.850000,12.540000,11.850000,12.320000,12.320000,3344100
2006-06-06,12.420000,12.600000,11.910000,12.100000,12.100000,1628800
2006-06-07,12.050000,12.100000,11.840000,11.990000,11.990000,1239000
2006-06-08,12.000000,12.060000,11.610000,11.790000,11.790000,953800
2006-06-09,11.890000,12.190000,11.830000,11.880000,11.880000,717300
2006-06-12,11.980000,11.980000,11.330000,11.510000,11.510000,916100
2006-06-13,11.410000,11.410000,10.810000,10.960000,10.960000,1613300
2006-06-14,10.980000,11.050000,10.140000,10.200000,10.200000,2610800
2006-06-15,10.280000,10.280000,9.750000,9.820000,9.820000,2657100
2006-06-16,9.800000,9.920000,9.600000,9.600000,9.600000,746000
2006-06-19,9.250000,9.300000,8.450000,8.480000,8.480000,2993900
2006-06-20,8.430000,9.240000,8.250000,8.920000,8.920000,3601300
2006-06-21,8.940000,9.300000,8.610000,8.850000,8.850000,2582600
2006-06-22,8.900000,8.930000,8.600000,8.650000,8.650000,699500
2006-06-23,8.570000,8.940000,8.540000,8.750000,8.750000,1343100
2006-06-26,8.850000,9.060000,8.780000,9.000000,9.000000,1308200
2006-06-27,9.080000,9.180000,8.630000,8.840000,8.840000,837900
2006-06-28,8.900000,8.950000,8.530000,8.890000,8.890000,699200
2006-06-29,8.950000,8.950000,8.770000,8.850000,8.850000,931400
2006-06-30,8.900000,8.910000,8.580000,8.590000,8.590000,2494300
2006-07-03,8.590000,8.820000,8.520000,8.600000,8.600000,379400
2006-07-05,8.590000,8.600000,8.130000,8.270000,8.270000,1244600
2006-07-06,8.000000,8.130000,7.810000,7.870000,7.870000,1013300
2006-07-07,7.720000,7.870000,7.650000,7.670000,7.670000,460100
2006-07-10,7.770000,7.910000,7.320000,7.400000,7.400000,1096100
2006-07-11,7.300000,7.370000,6.930000,7.040000,7.040000,1039200
2006-07-12,6.940000,7.220000,6.940000,7.020000,7.020000,1086000
2006-07-13,6.950000,7.070000,6.540000,6.580000,6.580000,1304500
2006-07-14,6.550000,6.900000,6.500000,6.760000,6.760000,667600
2006-07-17,6.810000,7.100000,6.770000,7.080000,7.080000,989100
2006-07-18,7.180000,7.180000,6.930000,6.970000,6.970000,476300
2006-07-19,6.960000,7.210000,6.930000,7.080000,7.080000,1021700
2006-07-20,7.080000,7.420000,7.020000,7.180000,7.180000,1050100
2006-07-21,7.250000,7.250000,6.840000,6.840000,6.840000,601800
2006-07-24,6.940000,7.000000,6.890000,6.920000,6.920000,530100
2006-07-25,6.960000,7.030000,6.900000,6.940000,6.940000,476700
2006-07-26,6.910000,7.040000,6.800000,6.930000,6.930000,422300
2006-07-27,6.950000,7.040000,6.900000,6.960000,6.960000,359400
2006-07-28,6.930000,7.000000,6.930000,6.950000,6.950000,140300
2006-07-31,6.880000,7.150000,6.830000,7.090000,7.090000,671700
2006-08-01,6.930000,7.000000,6.520000,6.700000,6.700000,1662400
2006-08-02,6.890000,6.890000,6.300000,6.400000,6.400000,839600
2006-08-03,6.500000,6.650000,6.380000,6.380000,6.380000,607100
2006-08-04,6.480000,6.950000,6.410000,6.910000,6.910000,1653200
2006-08-07,6.860000,7.000000,6.780000,6.940000,6.940000,577100
2006-08-08,6.890000,7.490000,6.730000,6.930000,6.930000,1298300
2006-08-09,6.950000,7.030000,6.790000,6.810000,6.810000,792500
2006-08-10,6.680000,6.740000,6.600000,6.640000,6.640000,1173800
2006-08-11,6.620000,6.630000,6.490000,6.500000,6.500000,512200
2006-08-14,6.600000,6.640000,6.410000,6.410000,6.410000,695000
2006-08-15,6.560000,6.630000,6.420000,6.540000,6.540000,898900
2006-08-16,6.640000,6.930000,6.560000,6.710000,6.710000,572400
2006-08-17,6.800000,6.800000,6.520000,6.540000,6.540000,504000
2006-08-18,6.540000,6.590000,6.450000,6.500000,6.500000,879800
2006-08-21,6.400000,6.920000,6.380000,6.750000,6.750000,649000
2006-08-22,6.810000,6.810000,6.530000,6.630000,6.630000,346100
2006-08-23,6.700000,6.870000,6.660000,6.800000,6.800000,470200
2006-08-24,6.790000,7.340000,6.750000,7.090000,7.090000,1308700
2006-08-25,7.230000,7.300000,7.070000,7.080000,7.080000,607300
2006-08-28,7.170000,7.200000,7.020000,7.080000,7.080000,303300
2006-08-29,7.070000,7.560000,7.000000,7.540000,7.540000,861000
2006-08-30,7.560000,8.210000,7.540000,8.100000,8.100000,2295100
2006-08-31,8.180000,8.530000,8.180000,8.510000,8.510000,1689800
2006-09-01,8.560000,9.070000,8.500000,8.900000,8.900000,2045300
2006-09-05,8.940000,8.950000,8.100000,8.240000,8.240000,2210000
2006-09-06,8.250000,8.530000,7.900000,7.930000,7.930000,980500
2006-09-07,7.860000,8.240000,7.750000,8.080000,8.080000,590200
2006-09-08,8.180000,8.210000,7.860000,7.860000,7.860000,492600
2006-09-11,7.860000,7.990000,7.160000,7.220000,7.220000,1640800
2006-09-12,7.160000,7.600000,7.160000,7.550000,7.550000,655200
2006-09-13,7.560000,7.870000,7.500000,7.800000,7.800000,793400
2006-09-14,7.790000,7.790000,7.220000,7.320000,7.320000,1007000
2006-09-15,7.360000,7.450000,7.100000,7.300000,7.300000,964100
2006-09-18,7.300000,7.420000,7.170000,7.260000,7.260000,513400
2006-09-19,7.310000,7.370000,7.150000,7.200000,7.200000,365800
2006-09-20,7.220000,7.300000,7.100000,7.140000,7.140000,373600
